"region","year","regpop","death","drink","smoke","aged","vehipc","deathrate"
40,2008,81159,594,52.8,27,13.24,0.36,7.318966
40,2009,89384,596,55.8,29.8,13.09,0.37,6.66786
40,2010,102557,624,53,22.5,12.69,0.37,6.084421
39,2008,171001,945,58.2,28.4,9.6,0.39,5.526283
39,2009,176135,961,59.4,27.4,9.7,0.4,5.456042
39,2010,178899,966,55.6,25.6,9.9,0.41,5.399695
42,2008,67387,647,45.2,23.4,22.47,0.37,9.601258
42,2009,67049,683,43.6,26.6,23.21,0.39,10.18658
42,2010,67104,717,41.3,20.9,23.86,0.4,10.68491
43,2008,17376,158,47.8,24.7,19.26,0.38,9.093001
43,2009,18221,151,52.1,28.9,18.99,0.4,8.287141
43,2010,18739,149,50.7,28.8,19.32,0.42,7.951332
41,2008,191687,1002,59.6,25.5,9.68,0.41,5.227272
41,2009,195399,1040,52.7,29,9.86,0.43,5.322443
41,2010,201000,1007,56.4,25.3,9.92,0.43,5.00995
14,2008,107355,744,56.4,29,14.28,0.48,6.930278
14,2009,108088,743,51.3,27.7,14.66,0.49,6.874029
14,2010,109250,755,51.9,25.6,15.06,0.5,6.910755
15,2008,45495,371,48.7,28,18.05,0.54,8.154742
15,2009,45241,370,51,28,18.75,0.54,8.178422
15,2010,45177,415,50.9,26.7,19.49,0.54,9.18609
12,2008,57108,561,49.5,26.5,17.85,0.37,9.823492
12,2009,57564,538,53.4,26,18.4,0.38,9.346119
12,2010,58890,573,54.8,22.7,19.06,0.39,9.730005
13,2008,89812,758,49.9,25.1,17.92,0.39,8.439852
13,2009,91450,719,48.8,27.5,18.33,0.4,7.86222
13,2010,95833,752,51.8,24.2,18.5,0.41,7.846984
9,2008,70360,589,52.7,27.5,17.79,0.39,8.371234
9,2009,69606,580,53,26.3,18.43,0.41,8.332615
9,2010,69893,633,49.4,25.7,18.87,0.42,9.056701
11,2008,43413,415,48.8,26.6,20.8,0.39,9.559348
11,2009,44121,414,55.1,27.2,21.1,0.41,9.383286
11,2010,44254,411,47.7,22.3,21.72,0.42,9.287296
4,2008,40201,411,54.6,26.2,20.73,0.37,10.22363
4,2009,40265,407,53,28.8,21.23,0.39,10.10803
4,2010,40407,427,56.4,27.1,21.64,0.41,10.56748
8,2008,43706,348,53.5,23.8,18.21,0.46,7.962294
8,2009,43634,372,52.7,29.2,18.72,0.47,8.525462
8,2010,43622,397,59.4,27.7,19.42,0.47,9.100912
6,2008,41269,378,53.2,30.7,17.61,0.39,9.159417
6,2009,40708,357,53.8,29.5,18.31,0.41,8.769775
6,2010,41045,380,55.1,27.3,19.25,0.41,9.258131
7,2008,47724,401,59.2,28.3,15.3,0.38,8.402481
7,2009,47669,371,54.4,28.6,15.94,0.39,7.782836
7,2010,48928,344,49.9,22.9,16.28,0.39,7.030739
10,2008,24110,211,54.4,33.9,17.1,0.34,8.751555
10,2009,24216,182,55.3,29,17.5,0.35,7.515692
10,2010,24364,196,50.9,28.6,18.08,0.37,8.044656
2,2008,21303,154,58.1,24.9,16.5,0.36,7.229029
2,2009,21323,174,58.1,27.3,17.19,0.38,8.160203
2,2010,21843,168,47.3,26.3,17.2,0.39,7.691251
5,2008,31620,229,55.4,27,15.37,0.4,7.242252
5,2009,31452,255,53.1,27.5,15.88,0.41,8.107593
5,2010,31842,253,53.3,25.2,16.04,0.42,7.945481
1,2008,30172,311,47.9,25.7,19.47,0.35,10.30757
1,2009,30272,274,50.2,27,20.04,0.36,9.051269
1,2010,30112,306,53.1,25.2,20.74,0.38,10.16206
3,2008,28115,274,52.3,27.3,19.7,0.39,9.745687
3,2009,27957,275,53,29,20.5,0.41,9.836535
3,2010,27929,273,52,25.2,21.27,0.42,9.774786
86,2008,148063,1031,48.7,25.7,14.25,0.42,6.963252
86,2009,149783,1054,49.7,27.8,14.36,0.44,7.036847
86,2010,152944,1054,53.2,25.6,14.44,0.45,6.891411
80,2008,35069,425,40.8,19.9,26.49,0.37,12.11897
80,2009,34845,436,44.8,22.1,27.12,0.39,12.51256
80,2010,34956,429,45,25,27.22,0.41,12.27257
82,2008,54475,515,49.2,26.3,20.59,0.36,9.453877
82,2009,54117,532,53.9,25.9,21.11,0.38,9.830552
82,2010,54025,513,48.7,24.4,21.48,0.39,9.495604
81,2008,50276,562,49.3,24.7,23.5,0.35,11.1783
81,2009,50426,531,43.4,24.7,24.1,0.37,10.53028
81,2010,50523,565,46.4,23.6,24.63,0.39,11.18303
85,2008,60715,466,56.8,26.6,15.07,0.42,7.675204
85,2009,61456,480,54.2,31.6,15.17,0.44,7.810466
85,2010,62094,472,53.8,29.1,15.44,0.45,7.601378
78,2008,36566,481,47.2,24.6,27.26,0.38,13.1543
78,2009,36775,466,41.2,25.3,27.69,0.4,12.67165
78,2010,36827,473,51.6,29.1,28.01,0.42,12.84384
83,2008,89542,697,52.6,23.7,15.18,0.42,7.784057
83,2009,89716,770,56.4,32.5,15.47,0.44,8.582639
83,2010,91093,747,54.1,28,15.87,0.45,8.200411
79,2008,31929,330,56.2,25.2,21.06,0.38,10.33543
79,2009,31842,325,41.5,26.8,21.64,0.4,10.20665
79,2010,31817,331,50.7,22.3,22.11,0.41,10.40324
84,2008,32179,199,59.6,29.9,12.56,0.38,6.184157
84,2009,33164,214,56.2,28.1,12.73,0.39,6.45278
84,2010,33533,222,55.8,27.6,13.13,0.4,6.620344
69,2008,56740,591,44.9,25.3,22.28,0.38,10.41593
69,2009,56220,599,50.9,29.5,22.69,0.4,10.65457
69,2010,56555,601,50.8,23.5,22.87,0.42,10.62682
73,2008,78645,622,47,25.4,16.26,0.38,7.908958
73,2009,79482,642,51.9,29.1,16.32,0.39,8.0773
73,2010,81871,626,53.4,27.6,16.34,0.4,7.646175
71,2008,76687,857,40,21,23.96,0.35,11.1753
71,2009,75564,817,43.4,23.9,24.61,0.37,10.81203
71,2010,75029,833,44.1,21.9,25.14,0.38,11.10237
72,2008,60507,670,40.6,20.5,25.27,0.35,11.0731
72,2009,60066,640,45.7,22.9,25.95,0.37,10.65495
72,2010,60085,680,50.6,21.3,26.36,0.38,11.3173
75,2008,33062,387,36.6,18.1,27.35,0.35,11.70528
75,2009,32613,377,46.3,26.1,28.11,0.37,11.55981
75,2010,32541,440,39.7,20.3,28.4,0.39,13.5214
77,2008,88176,782,48.3,21.9,19.67,0.37,8.868627
77,2009,87631,753,46.6,25.3,20.23,0.39,8.59285
77,2010,88078,822,51.9,24.6,20.44,0.4,9.332637
74,2008,88144,819,40.4,20.5,21.07,0.37,9.291614
74,2009,87163,849,43.9,25.6,21.68,0.39,9.740372
74,2010,87002,889,49.4,24.9,22,0.41,10.21816
76,2008,63401,561,48.5,16.6,20.16,0.37,8.848441
76,2009,63095,563,43.1,24.2,21,0.39,8.923053
76,2010,63247,540,41.8,20.7,21.56,0.4,8.537954
70,2008,136432,924,41.2,23.1,15.96,0.41,6.772604
70,2009,138798,953,44.4,29.2,16.03,0.43,6.866093
70,2010,144903,806,44.8,24.2,15.68,0.44,5.562342
65,2008,83757,776,38.7,19.8,17.82,0.41,9.264897
65,2009,83885,773,43,22,18.03,0.42,9.214996
65,2010,85119,758,40,23.1,18.11,0.44,8.90518
68,2008,27230,357,46.1,23.5,26.78,0.35,13.11054
68,2009,27558,326,38.2,22.7,26.88,0.38,11.8296
68,2010,27543,337,37.5,21.7,27.4,0.39,12.23541
62,2008,26017,298,43.6,26.8,25.57,0.34,11.45405
62,2009,25811,244,41,23.1,26.06,0.36,9.453334
62,2010,25578,265,44.7,22.8,26.68,0.38,10.36047
67,2008,23864,280,47.4,23.4,26.29,0.34,11.73315
67,2009,23478,253,43.6,25.6,26.96,0.36,10.77605
67,2010,23386,301,42.3,24.3,27.1,0.38,12.87095
66,2008,31133,380,37.8,20.7,28.11,0.33,12.2057
66,2009,30703,395,33,20.6,28.51,0.35,12.86519
66,2010,30593,350,39.1,20.5,28.94,0.36,11.44053
64,2008,30920,403,39.4,15.6,27.4,0.32,13.03364
64,2009,30179,412,41.5,26.5,28.15,0.35,13.65188
64,2010,30209,381,40.5,23.3,28.4,0.36,12.61214
61,2008,60328,688,46.6,23.7,25.85,0.35,11.40432
61,2009,60102,697,47.1,20.4,26.41,0.37,11.59695
61,2010,60861,676,44.9,21.4,26.48,0.39,11.10728
63,2008,60872,707,45.9,23.4,23.61,0.34,11.61454
63,2009,60204,632,47.3,24.1,24.22,0.36,10.49764
63,2010,60138,629,45,21.6,24.59,0.37,10.45928
48,2008,48347,518,45.9,24.5,23.94,0.4,10.71421
48,2009,47286,543,46.9,21.2,24.64,0.42,11.48331
48,2010,47808,521,43.3,21,24.94,0.43,10.89776
46,2008,32608,405,37.4,18.8,27.99,0.33,12.42027
46,2009,32084,414,43,21.5,28.75,0.34,12.90363
46,2010,31886,387,45.3,19.8,29.1,0.36,12.13699
47,2008,27703,380,43,18,26.25,0.33,13.71693
47,2009,27518,311,43.4,21.6,26.85,0.35,11.30169
47,2010,27375,321,40.5,20.9,27.44,0.37,11.72603
45,2008,76605,1037,34.3,12.7,30.62,0.29,13.53698
45,2009,75127,969,44.3,22.7,31.36,0.31,12.89816
45,2010,73924,995,37.6,20.5,31.99,0.32,13.45977
50,2008,50004,597,44.9,19.1,28.59,0.34,11.93904
50,2009,49048,575,42.2,21.4,29.19,0.35,11.72321
50,2010,48792,628,30.6,18.4,29.54,0.37,12.87096
60,2008,70327,649,47.7,25.7,19.47,0.37,9.228319
60,2009,69675,631,48,22.8,19.99,0.38,9.056333
60,2010,69368,702,50,23.5,20.39,0.39,10.11994
56,2008,42783,506,43.6,21.1,27.26,0.34,11.82713
56,2009,42097,497,53.1,22.7,27.86,0.35,11.80607
56,2010,42394,504,35.6,19.2,28.15,0.36,11.88847
44,2008,41153,467,47.2,16.7,26.38,0.33,11.3479
44,2009,41164,464,47.1,24.3,26.7,0.34,11.27199
44,2010,41624,536,46.6,21.5,26.68,0.36,12.87719
59,2008,81043,909,50.2,23.9,24.23,0.35,11.21627
59,2009,81148,970,45.6,21.4,24.47,0.36,11.95347
59,2010,79579,962,52.3,22.2,25.25,0.38,12.08862
53,2008,60106,588,45.7,22.6,20.27,0.4,9.782717
53,2009,59837,558,40,25,20.63,0.43,9.325334
53,2010,60082,554,42.4,20.4,20.93,0.45,9.220732
49,2008,66598,662,43.5,16.9,20.18,0.36,9.940238
49,2009,72417,658,44.5,23.4,19.17,0.38,9.086265
49,2010,74475,709,41.4,22.7,19.08,0.39,9.519973
58,2008,37432,460,40,22.4,28.24,0.35,12.28895
58,2009,37089,442,43,20.1,28.88,0.36,11.91728
58,2010,36702,434,42.7,21.1,29.49,0.37,11.82497
52,2008,58075,526,39.3,19.7,22.26,0.33,9.057254
52,2009,57037,564,44.3,23.8,22.93,0.35,9.888318
52,2010,57362,584,47,22.8,23.22,0.36,10.18096
55,2008,46602,518,39.2,18.8,23.39,0.38,11.1154
55,2009,46214,477,45.4,23.1,24.05,0.4,10.32155
55,2010,46514,483,43.4,21.2,24.3,0.42,10.38397
54,2008,54999,597,42.1,22.1,25.1,0.29,10.85474
54,2009,54301,595,37.3,19.5,25.95,0.31,10.95744
54,2010,54269,568,42.1,20.8,26.4,0.32,10.46638
57,2008,34412,413,44.4,22.6,27.2,0.33,12.00163
57,2009,33931,411,42.4,24.9,27.83,0.35,12.11282
57,2010,33743,441,38.8,22.1,28.47,0.37,13.06938
51,2008,45718,570,36.9,18.2,27.58,0.3,12.46774
51,2009,45294,588,40.3,19.9,27.94,0.32,12.98185
51,2010,45428,526,45.1,22.7,28.31,0.34,11.57876
27,2008,25309,346,44.7,25.1,30.56,0.41,13.67103
27,2009,24966,350,46.7,22.5,31.41,0.42,14.01907
27,2010,24736,354,46.8,24.9,31.82,0.44,14.31113
35,2008,60033,816,38,24.8,30.62,0.38,13.59252
35,2009,59109,818,40.1,23.8,31.45,0.4,13.83884
35,2010,58832,773,43.4,26.6,31.71,0.41,13.13911
37,2008,27289,328,44.1,25.6,27.18,0.38,12.0195
37,2009,26917,304,45.5,24,28.39,0.4,11.29398
37,2010,26715,344,48,24.3,28.97,0.41,12.87666
31,2008,18766,238,40.7,23.3,29.11,0.35,12.68251
31,2009,18553,233,34.5,26,29.86,0.37,12.55862
31,2010,18451,241,43.5,21.6,30.44,0.39,13.06162
30,2008,42707,514,46.7,21.4,27.44,0.33,12.0355
30,2009,41710,542,40.9,23,28.49,0.35,12.99449
30,2010,41377,507,41.8,22.7,28.94,0.36,12.25318
36,2008,44711,583,46.9,25.3,27.55,0.38,13.0393
36,2009,44279,546,44.7,22.4,28.04,0.4,12.3309
36,2010,44391,589,46,25.8,28.01,0.42,13.26846
26,2008,34770,358,48.4,26.9,22.02,0.44,10.29623
26,2009,34535,360,51,29.7,22.66,0.46,10.42421
26,2010,34678,370,50.5,25.6,22.62,0.47,10.66959
29,2008,45024,521,46.2,29.1,23.3,0.46,11.57161
29,2009,45616,563,42,27.8,23.39,0.48,12.34216
29,2010,45289,547,44.8,26.5,23.54,0.5,12.07799
38,2008,116472,629,58.7,33.5,10.87,0.43,5.40044
38,2009,117288,657,58.4,30,11.03,0.44,5.601596
38,2010,119087,770,57,29.5,11.23,0.45,6.465861
32,2008,47993,599,47.2,24.5,28.9,0.35,12.48099
32,2009,47306,637,43.5,26,29.5,0.37,13.46552
32,2010,47049,625,51.8,25.5,29.69,0.38,13.28402
28,2008,34628,408,49.2,23.5,27.61,0.35,11.78237
28,2009,34297,396,42,22.2,28.39,0.37,11.5462
28,2010,34567,425,46.3,23.4,28.35,0.38,12.29496
34,2008,53042,560,45.6,20.6,22.39,0.33,10.55767
34,2009,52529,568,49.2,23,22.91,0.35,10.81308
34,2010,52430,552,50.1,21.8,23.09,0.36,10.52832
33,2008,10168,89,53.5,23.1,17.39,0.33,8.752951
33,2009,10325,78,53.1,25.2,17.53,0.36,7.55448
33,2010,10701,84,47.3,24,17.82,0.37,7.849734
20,2008,30734,411,44.8,18.2,29.74,0.37,13.37281
20,2009,30496,424,47.9,24.1,30.12,0.38,13.90346
20,2010,30162,376,44.8,26.5,30.39,0.4,12.46602
23,2008,66050,626,49.8,26.2,17.79,0.43,9.477669
23,2009,66582,625,49.6,25,18.12,0.45,9.386921
23,2010,67207,601,45.3,24,18.2,0.46,8.942521
21,2008,61603,772,46.6,27.2,23.79,0.38,12.53186
21,2009,61252,736,43.4,25.6,24.39,0.4,12.01593
21,2010,61714,744,46,23.6,24.61,0.42,12.05561
17,2008,55950,593,48.5,25.9,22.75,0.34,10.59875
17,2009,57100,655,45.8,26.9,22.64,0.36,11.4711
17,2010,57231,629,43.2,25.6,22.89,0.37,10.99055
18,2008,50698,663,40.2,22,29.42,0.29,13.07744
18,2009,50244,618,44.9,21.2,29.86,0.3,12.29998
18,2010,49328,689,46.4,22.7,30.38,0.31,13.96773
22,2008,53515,617,48,25.6,24.43,0.34,11.52948
22,2009,52010,589,52.3,24.4,25.47,0.36,11.32475
22,2010,51509,575,47.1,22.8,25.94,0.37,11.1631
19,2008,35043,454,40.2,20.3,28.78,0.38,12.95551
19,2009,34921,468,42.1,20.8,29.45,0.4,13.40168
19,2010,35591,443,49.9,25.6,29.31,0.41,12.44697
24,2008,40447,476,44.5,22.1,27.13,0.37,11.76849
24,2009,40626,469,44.6,23.7,27.48,0.39,11.54433
24,2010,41197,469,46.6,19.8,27.49,0.43,11.38432
16,2008,63268,666,47.8,22.7,21.65,0.34,10.52665
16,2009,63180,605,44.3,21.5,22.04,0.36,9.575815
16,2010,63421,688,46,24.4,22.21,0.37,10.84814
25,2008,55677,709,47,26.7,28.35,0.32,12.73416
25,2009,52973,685,50.7,24.6,29.98,0.34,12.93112
25,2010,51092,691,39.7,19.7,31.22,0.36,13.52462
